"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#天博体育 #开云体育 #亚博 #Semeru Semeru https://t.co/PDoNRASF4q
Ago smile tough himself build.
😄😀💥😆💫",FALSE,0,NA,2022-12-05 09:04:00,FALSE,NA,"1599691045771837440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Augusti83621715",0,FALSE,FALSE,NA,NA
"RT @ar_etsch: #Semeru #Volcano #Indonesia

Eruption 2022.12.04 

Plume in motion

📸🛰#Landsat8-9 

Footage(without motion) : @USGSLandsat @s…",FALSE,0,NA,2022-12-05 09:03:55,FALSE,NA,"1599691023013228546",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Zen54340448",147,TRUE,FALSE,NA,NA
"Content analysis:
This article scores 86/100. The complete report can be viewed here: https://t.co/4IqBjikwnw
(I'm… https://t.co/0ugFBIE9Vm",FALSE,0,NA,2022-12-05 09:00:57,TRUE,NA,"1599690275743481859",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Valurank</a>","valurank",0,FALSE,FALSE,NA,NA
"RT @ar_etsch: #Semeru #Volcano #Indonesia

Ongoing Eruption…..

Stay healthy there everyone !

Footage: 🎥  live via YT  CCTV Seremu https:/…",FALSE,0,NA,2022-12-05 08:59:06,FALSE,NA,"1599689812365037568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_Beep_On",17,TRUE,FALSE,NA,NA
"RT @Caspineft: Mt #Semeru erupts.  This volcano is dangerous, with often violent explosive activity and deadly pyroclastic flows",FALSE,0,NA,2022-12-05 08:58:48,FALSE,NA,"1599689737618395137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FAETTTON",1,TRUE,FALSE,NA,NA
"RT @ar_etsch: #Semeru #Volcano #Indonesia

Eruption 2022.12.04 

Plume in motion

📸🛰#Landsat8-9 

Footage(without motion) : @USGSLandsat @s…",FALSE,0,NA,2022-12-05 08:57:10,FALSE,NA,"1599689325175676928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Follow_DTrick",147,TRUE,FALSE,NA,NA
"RT @_GlobalCrisis_: ‼️ #Semeru #volcano on the island of #Java in #Indonesia began to erupt today

On Dec4, the #SemeruVolcano erupted with…",FALSE,0,NA,2022-12-05 08:54:36,FALSE,NA,"1599688678527291392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vital_rya",47,TRUE,FALSE,NA,NA
"Mt. Semeru erupts on Indonesia’s most densely populated island #Semeru #erupts #Indonesias #densely #populated… https://t.co/GdfDw5nZE1",FALSE,1,NA,2022-12-05 08:49:16,TRUE,NA,"1599687337578876928",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","englishheadline",0,FALSE,FALSE,NA,NA
"RT @Jogja_Uncover: Via @ar_etsch 

#Semeru #Volcano #Indonesia

Eruption 2022.12.04 

Plume in motion

📸🛰#Landsat8-9 

Footage(without moti…",FALSE,0,NA,2022-12-05 08:46:33,FALSE,NA,"1599686654348120065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KabFprb",101,TRUE,FALSE,NA,NA
"Before and after the eruption of Semeru volcano in Indonesia
 #Semeru #SemeruVolcano #Indonesia https://t.co/1nXYkBLVEy",FALSE,3,NA,2022-12-05 08:46:02,FALSE,NA,"1599686522512740353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirajnoorani",0,FALSE,FALSE,NA,NA
"Mt #Semeru erupts.  This volcano is dangerous, with often violent explosive activity and deadly pyroclastic flows https://t.co/Toyw6aYGt6",FALSE,0,NA,2022-12-05 08:45:39,FALSE,NA,"1599686426077323264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Caspineft",1,FALSE,FALSE,NA,NA
"After each eruption of #SemeruVolcano, the next threat is lava floods.  Especially if the slopes of Semeru continue… https://t.co/dvWsAq35EI",FALSE,4,NA,2022-12-05 08:44:28,TRUE,NA,"1599686128650850304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirajnoorani",0,FALSE,FALSE,NA,NA
"Scenes from the evacuation of residents in Pasryan Lumagang due to the eruption of Mount Semeru volcano.
 #Semeru… https://t.co/3deMB5aCmj",FALSE,1,NA,2022-12-05 08:43:19,TRUE,NA,"1599685837964607489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirajnoorani",0,FALSE,FALSE,NA,NA
"RT @Jogja_Uncover: Via @ar_etsch 

#Semeru #Volcano #Indonesia

Eruption 2022.12.04 

Plume in motion

📸🛰#Landsat8-9 

Footage(without moti…",FALSE,0,NA,2022-12-05 08:42:52,FALSE,NA,"1599685726513565699",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harian_adit",101,TRUE,FALSE,NA,NA
"RT @Jogja_Uncover: Via @ar_etsch 

#Semeru #Volcano #Indonesia

Eruption 2022.12.04 

Plume in motion

📸🛰#Landsat8-9 

Footage(without moti…",FALSE,0,NA,2022-12-05 08:41:34,FALSE,NA,"1599685399139717120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsSoewargo",101,TRUE,FALSE,NA,NA
"RT @i_ameztoy: Wow, impressive #Semeru 🌋 
https://t.co/0PNk8nj893",FALSE,0,NA,2022-12-05 08:40:52,FALSE,NA,"1599685222043242497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_ameztoy",70,TRUE,FALSE,NA,NA
"Scenes of volcanic ash in,Semeru covering the ground with a height of 4 meters ⚠️🌋
 #Semeru https://t.co/IJ6W04ercn",FALSE,2,NA,2022-12-05 08:40:36,FALSE,NA,"1599685156151119872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sirajnoorani",0,FALSE,FALSE,NA,NA
"RT @rrichcord: ""BREAKING: #Indonesia’s Mount #Semeru has explosively erupted, sending pyroclastic density currents..""(ref @SquigglyVolcano)…",FALSE,0,NA,2022-12-05 08:36:04,FALSE,NA,"1599684014922936321",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","janganajukan",9,TRUE,FALSE,NA,NA
"Content analysis:
This article scores 86/100. The complete report can be viewed here: https://t.co/viETOLpSw7
(I'm… https://t.co/YWw0Glal2k",FALSE,0,NA,2022-12-05 08:34:29,TRUE,NA,"1599683617483116544",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Valurank</a>","valurank",0,FALSE,FALSE,NA,NA
"RT @kosmi64833127: Eruption of #Semeru #volcano in #Indonesia.

SWIR image taken today by #Landsat-9.

Data processed in @sentinel_hub 

#S…",FALSE,0,NA,2022-12-05 08:31:02,FALSE,NA,"1599682747119046658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kulkulread",137,TRUE,FALSE,NA,NA
"RT @i_ameztoy: Wow, impressive #Semeru 🌋 
https://t.co/0PNk8nj893",FALSE,0,NA,2022-12-05 08:23:09,FALSE,NA,"1599680762709934080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maul_azar",70,TRUE,FALSE,NA,NA
